4,"UBS Kids Cup",Tenero,2017-04-19,2111
118,"Schnällscht Bödeler",Interlaken,2017-05-06,2112
204,"UBS Kids Cup",Interlaken,2017-05-27,2113
3,"Hürden und Sprintmeeting",Basel,2017-05-20,2114
155,"LMM Vorrunde",Interlaken,2017-05-26,2115
3,Nachwuchsmeeting,Bern,2017-05-28,2116
1,Pfingstmeeting,Zofingen,2017-06-03,2117
51,"Schnällschte Oberländer",Thun,2017-06-03,2118
97,"Kantonale Meisterschaften",Thun,2017-06-10,2119
27,"Turnfest Einzel",Reichenbach,2017-06-16,2120
24,"Turnfest Sektion",Reichenbach,2017-06-17,2121
138,"SVM Nachwuchs",Bern,2017-06-18,2122
13,Abendmeeting,Thun,2017-06-21,2123
12,"Regionale Meisterschaften",Bern,2017-06-24,2127
1,"Meeting International",Genf,2017-06-10,2129
180,"UBS Kids Cup",Interlaken,2017-06-28,2130
21,"Kantonalfinal Swiss Athletic Sprint",Kirchberg,2017-07-02,2131
16,"UBS Kids Cup",Thun,2017-07-01,2132
