athleteName;swissAthleticsDBId
Lea Studer;CONTACT.WEB.153133
Sina Mischler;CONTACT.WEB.154669
Nina Uhlmann;a21aa-vng5gp-jeiqgwdz-1-jfwydyj6-2ikw
Noe Scheurer;CONTACT.WEB.153135
Jasmine Rüegsegger;CONTACT.WEB.157496
Angela Rüegsegger;CONTACT.WEB.157495
Marcia Haldimann;a21aa-51wqrh-jg9njzak-1-jgt0bkhj-4s5k
Louisa Wong;CONTACT.WEB.155845
Emma Seiler;CONTACT.WEB.153134
Fiona Balsiger;a21aa-51wqrh-jg9njzak-1-jgt09g2u-4s49
Lina Esposito;a21aa-ykp7tt-jugbdsd0-1-jvjkhtax-6o7v
Flavia Reist;a21aa-51wqrh-jg9njzak-1-jgt0i5g8-4s70
Alina Marti;a21aa-ykp7tt-jugbdsd0-1-jvjkkgty-6o8l
Flurina Schneider;a21aa-ykp7tt-jugbdsd0-1-jvjkvshk-6oci
Lia Müller;a21aa-51wqrh-jg9njzak-1-jgt0duzy-4s64
Alisha Beglinger;a21aa-ykp7tt-jugbdsd0-1-jvjkfp4h-6o7i
Nina Nufer;a21aa-ykp7tt-jugbdsd0-1-jvjkqjd9-6oa7
Alisa Michel;a21aa-ykp7tt-jugbdsd0-1-jvjkodzg-6o9v
Ann Céline Josi;a21aa-ogaf4d-jy7njhbg-1-jz5a0u9y-3cuc
Elena Zingg;a21aa-ykp7tt-jugbdsd0-1-jvjl0dcn-6oe7
Nora Abegglen;CONTACT.WEB.155847
Leonie Steiner;a21aa-ykp7tt-jugbdsd0-1-jvjkxtrj-6od6
Lia Wittwer;a21aa-51wqrh-jg9njzak-1-jgt0mle9-4s8m
Kim Röthlisberger;a21aa-ykp7tt-jugbdsd0-1-jvjktkh2-6obs
TV Unterseen U14 1;akb20-8tv3q-f1iu9o4w-1-f1msvmpk-3ur
TV Unterseen U14 2;akb20-7la2me-f2j0m1la-1-f2rxxvvf-63l
